configuration,spacecraft,cohort,denominator,statuses,local_successful,local_scored,local_median_rms_m,forecast_successful,forecast_scored,forecast_median_rms_m,target_achieved
L/3,FOREST-17,matched,1,"{""converged"": 1}",0,1,13190.5234380091,0,1,187851.4807256233,False
L/3,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 2, ""converged"": 6}",0,6,15103.105892620224,0,6,196923.58773455455,False
L/3,FOREST-18,matched,1,"{""converged"": 1}",0,1,23798.907002040527,0,1,203777.40764375884,False
L/3,FOREST-19,all,10,"{""warm_up"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,14841.538822804085,0,8,213453.8383043059,False
L/3,FOREST-19,matched,3,"{""converged"": 3}",0,3,20042.330002645802,0,3,226766.2071509146,False
L/5,pooled,all,38,"{""warm_up"": 13, ""screening_failed"": 7, ""converged"": 18}",0,18,21876.18930265195,0,18,215282.61179200062,False
L/5,pooled,matched,6,"{""converged"": 6}",0,6,21977.22036758059,0,6,218881.7980155949,False
L/5,FOREST-16,all,8,"{""warm_up"": 3, ""screening_failed"": 1, ""converged"": 4}",0,4,33751.53141961055,0,4,234203.58521235746,False
L/5,FOREST-16,matched,1,"{""converged"": 1}",0,1,20267.982095087435,0,1,217919.12513146747,False
L/5,FOREST-17,all,9,"{""warm_up"": 3, ""screening_failed"": 2, ""converged"": 4}",0,4,24396.354273022473,0,4,195741.32672559534,False
L/5,FOREST-17,matched,1,"{""converged"": 1}",0,1,41240.70585468659,0,1,215090.82241182876,False
L/5,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 4, ""converged"": 4}",0,4,27991.10502262336,0,4,210607.72025440424,False
L/5,FOREST-18,matched,1,"{""converged"": 1}",0,1,37716.00058781869,0,1,219844.4708997223,False
L/5,FOREST-19,all,10,"{""warm_up"": 3, ""converged"": 6, ""screening_failed"": 1}",0,6,20993.359918692855,0,6,224226.69197049778,False
L/5,FOREST-19,matched,3,"{""converged"": 3}",0,3,21278.743226696235,0,3,231299.90240354236,False
L/8,pooled,all,38,"{""warm_up"": 25, ""screening_failed"": 7, ""converged"": 6}",0,6,24051.577309687676,0,6,227147.0146397156,False
L/8,pooled,matched,6,"{""converged"": 6}",0,6,24051.577309687676,0,6,227147.0146397156,False
L/8,FOREST-16,all,8,"{""warm_up"": 6, ""screening_failed"": 1, ""converged"": 1}",0,1,23889.512787239415,0,1,224354.23338989617,False
L/8,FOREST-16,matched,1,"{""converged"": 1}",0,1,23889.512787239415,0,1,224354.23338989617,False
L/8,FOREST-17,all,9,"{""warm_up"": 6, ""screening_failed"": 2, ""converged"": 1}",0,1,43273.81013365308,0,1,216970.89172067938,False
L/8,FOREST-17,matched,1,"{""converged"": 1}",0,1,43273.81013365308,0,1,216970.89172067938,False
L/8,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 7, ""converged"": 1}",0,1,47763.719584194856,0,1,229939.79588953507,False
L/8,FOREST-18,matched,1,"{""converged"": 1}",0,1,47763.719584194856,0,1,229939.79588953507,False
L/8,FOREST-19,all,10,"{""warm_up"": 6, ""converged"": 3, ""screening_failed"": 1}",0,3,24030.86117488632,0,3,234043.4995991142,False
L/8,FOREST-19,matched,3,"{""converged"": 3}",0,3,24030.86117488632,0,3,234043.4995991142,False
L/archived-control,pooled,all,38,"{""converged"": 38}",0,38,322669.6393389286,0,38,424555.2649924768,False
L/archived-control,pooled,matched,6,"{""converged"": 6}",0,6,339954.42584822944,0,6,518641.98742062657,False
L/archived-control,FOREST-16,all,8,"{""converged"": 8}",0,8,812443.5974639624,0,8,993867.9981094336,False
L/archived-control,FOREST-16,matched,1,"{""converged"": 1}",0,1,169227.15166710608,0,1,366619.7398468706,False
L/archived-control,FOREST-17,all,9,"{""converged"": 9}",0,9,510681.70002935285,0,9,670664.2349943825,False
L/archived-control,FOREST-17,matched,1,"{""converged"": 1}",0,1,510681.70002935285,0,1,670664.2349943825,False
L/archived-control,FOREST-18,all,11,"{""converged"": 11}",0,11,184552.7213606691,0,11,320337.89196427155,False
L/archived-control,FOREST-18,matched,1,"{""converged"": 1}",0,1,1507445.7193190842,0,1,1674564.7832703476,False
L/archived-control,FOREST-19,all,10,"{""converged"": 10}",0,10,164662.4289037425,0,10,357548.7585750383,False
L/archived-control,FOREST-19,matched,3,"{""converged"": 3}",0,3,125369.08344997697,0,3,308884.38573498215,False
L/archived-robust,pooled,all,38,"{""converged"": 31, ""screening_failed"": 7}",0,31,16892.479894416883,0,31,191900.64501971484,False
L/archived-robust,pooled,matched,6,"{""converged"": 6}",0,6,19159.71748062525,0,6,201178.21274730406,False
L/archived-robust,FOREST-16,all,8,"{""converged"": 7, ""screening_failed"": 1}",0,7,19252.073375382653,0,7,210311.93131176214,False
L/archived-robust,FOREST-16,matched,1,"{""converged"": 1}",0,1,19011.077242373878,0,1,210525.55470894894,False
L/archived-robust,FOREST-17,all,9,"{""screening_failed"": 2, ""converged"": 7}",0,7,16489.1749051594,0,7,180462.18698483834,False
L/archived-robust,FOREST-17,matched,1,"{""converged"": 1}",0,1,9214.069205886728,0,1,180462.18698483834,False
L/archived-robust,FOREST-18,all,11,"{""converged"": 8, ""screening_failed"": 3}",0,8,12577.51960618125,0,8,191129.59472889805,False
L/archived-robust,FOREST-18,matched,1,"{""converged"": 1}",0,1,19308.35771887662,0,1,194806.17112143303,False
L/archived-robust,FOREST-19,all,10,"{""converged"": 9, ""screening_failed"": 1}",0,9,16430.768313876597,0,9,203157.30409905806,False
L/archived-robust,FOREST-19,matched,3,"{""converged"": 3}",0,3,21102.74534707133,0,3,207550.25437317506,False
L/condition,pooled,all,38,"{""selection_failed"": 5, ""converged"": 26, ""screening_failed"": 7}",0,26,23449.648048517647,0,26,215966.0795436732,False
L/condition,pooled,matched,6,"{""converged"": 6}",0,6,31349.895144514852,0,6,225425.7535577296,False
L/condition,FOREST-16,all,8,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,33240.14371435268,0,6,235458.2799066127,False
L/condition,FOREST-16,matched,1,"{""converged"": 1}",0,1,23522.803690543406,0,1,223818.58675734693,False
L/condition,FOREST-17,all,9,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 2}",0,6,22318.184181150304,0,6,187284.95578277664,False
L/condition,FOREST-17,matched,1,"{""converged"": 1}",0,1,42896.98012776067,0,1,216622.47981212908,False
L/condition,FOREST-18,all,11,"{""screening_failed"": 3, ""selection_failed"": 2, ""converged"": 6}",0,6,22343.849883998428,0,6,202909.74110182517,False
L/condition,FOREST-18,matched,1,"{""converged"": 1}",0,1,44824.632015117706,0,1,227032.92035811223,False
L/condition,FOREST-19,all,10,"{""selection_failed"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,19606.112643433156,0,8,219475.44446796825,False
L/condition,FOREST-19,matched,3,"{""converged"": 3}",0,3,23376.49240649189,0,3,233398.43758763425,False
L/trace,pooled,all,38,"{""selection_failed"": 5, ""converged"": 26, ""screening_failed"": 7}",0,26,22990.40395493255,0,26,215203.9678331978,False
L/trace,pooled,matched,6,"{""converged"": 6}",0,6,23449.648048517647,0,6,227738.09230750974,False
L/trace,FOREST-16,all,8,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,33240.14371435268,0,6,235458.2799066127,False
L/trace,FOREST-16,matched,1,"{""converged"": 1}",0,1,23522.803690543406,0,1,223818.58675734693,False
L/trace,FOREST-17,all,9,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 2}",0,6,22318.184181150304,0,6,187284.95578277664,False
L/trace,FOREST-17,matched,1,"{""converged"": 1}",0,1,41203.60045074892,0,1,215056.50195805912,False
L/trace,FOREST-18,all,11,"{""screening_failed"": 3, ""selection_failed"": 2, ""converged"": 6}",0,6,25906.901464342256,0,6,207306.30819513695,False
L/trace,FOREST-18,matched,1,"{""converged"": 1}",0,1,49512.881393234224,0,1,231657.59785767258,False
L/trace,FOREST-19,all,10,"{""selection_failed"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,19606.112643433156,0,8,218804.544951603,False
L/trace,FOREST-19,matched,3,"{""converged"": 3}",0,3,22747.974177262695,0,3,233398.43758763425,False
six/1,pooled,all,38,"{""converged"": 30, ""screening_failed"": 7, ""fit_error"": 1}",0,30,268306.0310022415,0,29,2459389.5211523687,False
six/1,pooled,matched,6,"{""converged"": 5, ""fit_error"": 1}",0,5,237907.945768245,0,5,2308276.727691268,False
six/1,FOREST-16,all,8,"{""converged"": 7, ""screening_failed"": 1}",0,7,307536.0766887502,0,7,2576714.473240241,False
six/1,FOREST-16,matched,1,"{""converged"": 1}",0,1,287237.8500225248,0,1,879333.1536485493,False
six/1,FOREST-17,all,9,"{""converged"": 7, ""screening_failed"": 2}",0,7,287391.7666674051,0,7,2388258.245969014,False
six/1,FOREST-17,matched,1,"{""converged"": 1}",0,1,160296.11797252012,0,1,2308276.727691268,False
six/1,FOREST-18,all,11,"{""screening_failed"": 3, ""converged"": 8}",0,8,184340.03035900107,0,8,1838676.796444781,False
six/1,FOREST-18,matched,1,"{""converged"": 1}",0,1,580430.4578840663,0,1,4310387.087379063,False
six/1,FOREST-19,all,10,"{""converged"": 8, ""fit_error"": 1, ""screening_failed"": 1}",0,8,272503.65890839975,0,7,3113239.3247546093,False
six/1,FOREST-19,matched,3,"{""fit_error"": 1, ""converged"": 2}",0,2,151658.1093432971,0,2,1734252.9688069783,False
six/3,pooled,all,38,"{""warm_up"": 5, ""converged"": 26, ""screening_failed"": 7}",2,26,49930.20095984396,0,26,385438.4016287365,False
six/3,pooled,matched,6,"{""converged"": 6}",0,6,106171.83404310672,0,6,1720257.7022590735,False
six/3,FOREST-16,all,8,"{""warm_up"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,67338.0499698558,0,6,333838.1823356579,False
six/3,FOREST-16,matched,1,"{""converged"": 1}",0,1,22885.995847717317,0,1,560365.2990251209,False
six/3,FOREST-17,all,9,"{""warm_up"": 1, ""converged"": 6, ""screening_failed"": 2}",1,6,56444.714877357095,0,6,385438.4016287365,False
six/3,FOREST-17,matched,1,"{""converged"": 1}",0,1,157131.5187672193,0,1,960988.4278073384,False
six/3,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 2, ""converged"": 6}",1,6,6146.544079234156,0,6,57091.08849732444,False
six/3,FOREST-18,matched,1,"{""converged"": 1}",0,1,295248.50566276914,0,1,3377566.679250212,False
six/3,FOREST-19,all,10,"{""warm_up"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,155465.63660794808,0,8,637688.1562744163,False
six/3,FOREST-19,matched,3,"{""converged"": 3}",0,3,55212.14931899415,0,3,2479526.9767108085,False
six/5,pooled,all,38,"{""warm_up"": 13, ""screening_failed"": 7, ""converged"": 18}",8,18,5141.726413822196,0,18,38892.22502808278,False
six/5,pooled,matched,6,"{""converged"": 6}",3,6,4119.718777165351,0,6,22930.337812811835,False
six/5,FOREST-16,all,8,"{""warm_up"": 3, ""screening_failed"": 1, ""converged"": 4}",1,4,6581.694219664365,0,4,28111.85232891525,False
six/5,FOREST-16,matched,1,"{""converged"": 1}",0,1,5137.868343476144,0,1,15352.659880229588,False
six/5,FOREST-17,all,9,"{""warm_up"": 3, ""screening_failed"": 2, ""converged"": 4}",1,4,5274.521583259122,0,4,48710.88354150028,False
six/5,FOREST-17,matched,1,"{""converged"": 1}",0,1,5145.584484168248,0,1,63231.01646825029,False
six/5,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 4, ""converged"": 4}",4,4,3347.0294798054556,0,4,32342.947909877163,False
six/5,FOREST-18,matched,1,"{""converged"": 1}",1,1,1628.3544903305567,0,1,30508.01574539408,False
six/5,FOREST-19,all,10,"{""warm_up"": 3, ""converged"": 6, ""screening_failed"": 1}",2,6,11298.476153299656,0,6,64321.4995912272,False
six/5,FOREST-19,matched,3,"{""converged"": 3}",2,3,3101.5692108545577,0,3,11515.804567063351,False
six/8,pooled,all,38,"{""warm_up"": 25, ""screening_failed"": 7, ""converged"": 6}",5,6,3679.5937217260216,0,6,27908.407079643264,False
six/8,pooled,matched,6,"{""converged"": 6}",5,6,3679.5937217260216,0,6,27908.407079643264,False
six/8,FOREST-16,all,8,"{""warm_up"": 6, ""screening_failed"": 1, ""converged"": 1}",1,1,3340.201178520011,0,1,20627.896776711917,False
six/8,FOREST-16,matched,1,"{""converged"": 1}",1,1,3340.201178520011,0,1,20627.896776711917,False
six/8,FOREST-17,all,9,"{""warm_up"": 6, ""screening_failed"": 2, ""converged"": 1}",1,1,4522.6421844308325,0,1,33378.952887538,False
six/8,FOREST-17,matched,1,"{""converged"": 1}",1,1,4522.6421844308325,0,1,33378.952887538,False
six/8,FOREST-18,all,11,"{""screening_failed"": 3, ""warm_up"": 7, ""converged"": 1}",1,1,1674.5320404160093,0,1,19475.620479752197,False
six/8,FOREST-18,matched,1,"{""converged"": 1}",1,1,1674.5320404160093,0,1,19475.620479752197,False
six/8,FOREST-19,all,10,"{""warm_up"": 6, ""converged"": 3, ""screening_failed"": 1}",2,3,4018.986264932032,0,3,29181.803261446697,False
six/8,FOREST-19,matched,3,"{""converged"": 3}",2,3,4018.986264932032,0,3,29181.803261446697,False
six/archived-control,pooled,all,38,"{""fit_error"": 13, ""converged"": 24, ""nonconverged"": 1}",0,24,756717.3332701025,0,19,4218359.984948646,False
six/archived-control,pooled,matched,6,"{""converged"": 4, ""fit_error"": 2}",0,4,358299.446680618,0,4,3620264.2313277842,False
six/archived-control,FOREST-16,all,8,"{""fit_error"": 3, ""converged"": 5}",0,5,855247.9146217691,0,5,8666687.726556102,False
six/archived-control,FOREST-16,matched,1,"{""converged"": 1}",0,1,391770.5316440885,0,1,2289357.113510195,False
six/archived-control,FOREST-17,all,9,"{""converged"": 4, ""fit_error"": 5}",0,4,978881.7186484662,0,3,4791405.841041661,False
six/archived-control,FOREST-17,matched,1,"{""fit_error"": 1}",0,0,,0,0,,False
six/archived-control,FOREST-18,all,11,"{""converged"": 8, ""fit_error"": 3}",0,8,596970.4669395993,0,6,3344598.71268569,False
six/archived-control,FOREST-18,matched,1,"{""fit_error"": 1}",0,0,,0,0,,False
six/archived-control,FOREST-19,all,10,"{""converged"": 7, ""nonconverged"": 1, ""fit_error"": 2}",0,7,730718.8454685183,0,5,2441442.6940135076,False
six/archived-control,FOREST-19,matched,3,"{""converged"": 3}",0,3,324828.3617171475,0,3,4951171.349145373,False
six/archived-robust,pooled,all,38,"{""converged"": 30, ""screening_failed"": 7, ""fit_error"": 1}",0,30,268306.0310022415,0,29,2459389.5211523687,False
six/archived-robust,pooled,matched,6,"{""converged"": 5, ""fit_error"": 1}",0,5,237907.945768245,0,5,2308276.727691268,False
six/archived-robust,FOREST-16,all,8,"{""converged"": 7, ""screening_failed"": 1}",0,7,307536.0766887502,0,7,2576714.473240241,False
six/archived-robust,FOREST-16,matched,1,"{""converged"": 1}",0,1,287237.8500225248,0,1,879333.1536485493,False
six/archived-robust,FOREST-17,all,9,"{""screening_failed"": 2, ""converged"": 7}",0,7,287391.7666674051,0,7,2388258.245969014,False
six/archived-robust,FOREST-17,matched,1,"{""converged"": 1}",0,1,160296.11797252012,0,1,2308276.727691268,False
six/archived-robust,FOREST-18,all,11,"{""converged"": 8, ""screening_failed"": 3}",0,8,184340.03035900107,0,8,1838676.796444781,False
