passes,profile,spacecraft,contact_id,status,reason,local_rms_km,forecast_rms_km,local_failure,forecast_failure,local_reference_status,forecast_reference_status,nfev,njev,runtime_s
8,winner,FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,converged,`ftol` termination condition is satisfied.,2.518,20.457,,,accepted,candidate,12,11,30.65245010700164
8,winner,FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,converged,`ftol` termination condition is satisfied.,5.956,37.262,,,accepted,accepted,7,6,25.9785612630003
8,winner,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,2.800,18.762,,,accepted,candidate,8,7,36.292467130999285
8,winner,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,6.616,91.400,,,candidate,candidate,6,5,16.430409554999642
8,winner,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,3.189,38.700,,,candidate,candidate,10,9,23.994308205998095
8,winner,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,1.708,23.700,,,candidate,candidate,9,8,24.448526313997718
8,cohort,FOREST-16,1c36ca34-a985-4809-9ca7-65e422e6c47d,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-16,e5d79f0b-730b-4832-becf-f716d7322784,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-16,bcec2df5-c0d0-4e89-91ae-f0568424de8a,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-16,82723fb0-59f4-4de8-ac05-f9f3d9a7dcc7,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-16,7cb89272-0ba6-4eaf-8445-917ec34e727e,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-16,2a45c0d3-c3e9-45e8-a11f-5dbf6bda0693,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
