satellite,contact_id,station,tle_role,tle_epoch_utc,tle_line1,tle_line2,recorded_start_utc,recorded_end_utc,accepted_start_utc,accepted_end_utc,raw_telemetry_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,accepted_doppler_measurements,gps_fixes_in_window,fitted,status,time_correction_s,time_correction_std_s,frequency_correction_hz,batch_healthy,prior_median_error_km,corrected_median_error_km
FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T17:07:14.061741+00:00,2026-05-03T17:35:22.002084+00:00,2026-05-03T17:18:55.440628+00:00,2026-05-03T17:28:01.741531+00:00,4017,1663,487,487,471,9,True,Primary contact,0.1124594993088363,2.880723205991843,944.2814808681679,True,9.976358126569039,10.825809886134873
FOREST-18,6c22b929-f451-4e3f-bc5d-fc4e230c6c02,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T17:50:01.097961+00:00,2026-05-03T18:15:55.085095+00:00,2026-05-03T18:00:37.493457+00:00,2026-05-03T18:01:43.556265+00:00,3624,1535,32,32,32,1,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,5f62261f-f193-475b-ad2d-94a8b9fd0e75,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T18:00:19+00:00,2026-05-03T18:10:18.481309+00:00,,,1676,581,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T20:15:20.081551+00:00,2026-05-03T20:33:08.697798+00:00,2026-05-03T20:18:25.198752+00:00,2026-05-03T20:28:19.546636+00:00,2557,892,341,341,341,10,True,Primary contact,-2.207008934592969,0.7192194222696044,128.81010968605014,True,15.349585337786758,1.376981683385441
FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T21:12:35.105666+00:00,2026-05-03T21:24:38+00:00,2026-05-03T21:13:16.051067+00:00,2026-05-03T21:23:40.437676+00:00,2117,697,339,339,336,4,True,Limited-GPS contact,-2.541022119061809,2.3016249974722083,165.12242719815106,True,14.463048590682204,4.768867400457262
FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T22:47:18.129477+00:00,2026-05-03T23:04:57.723599+00:00,2026-05-03T22:49:19.221401+00:00,2026-05-03T23:00:58.667437+00:00,2857,1049,339,339,339,3,True,Limited-GPS contact,-2.2329643985300334,1.113730774415455,-45.20142551526909,True,16.744291818269637,0.3073251924913507
FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,TROLL,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T23:28:25.108077+00:00,2026-05-03T23:44:45.634323+00:00,2026-05-03T23:31:14.182410+00:00,2026-05-03T23:39:09.458704+00:00,2309,812,322,322,322,7,True,Primary contact,-2.7698235502156416,3.8479317620341402,-63.312276709795945,True,19.555461530378675,1.3903990627993104
FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,AWARUA,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-04T01:20:16.264068+00:00,2026-05-04T01:35:43.599906+00:00,2026-05-04T01:23:19.261813+00:00,2026-05-04T01:32:09.500393+00:00,2485,928,342,342,337,8,True,Primary contact,-3.042295412337625,4.054912236917911,763.898589633318,True,21.39124974619928,1.585250330942805
FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-04T01:58:39.310713+00:00,2026-05-04T02:16:15.689935+00:00,2026-05-04T02:01:18.301457+00:00,2026-05-04T02:08:06.448033+00:00,2805,1024,170,170,170,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,PUNTA_ARENAS,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-04T04:13:06.056800+00:00,2026-05-04T04:28:39.548511+00:00,2026-05-04T04:16:11.165606+00:00,2026-05-04T04:24:33.539715+00:00,2504,934,212,212,212,9,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
